category,product_name,mrp_inr,discount_pct,available_qty,selling_price_inr,weight_gms,out_of_stock,unit_qty,discount_amount,price_per_100g,stock_status,discount_tier
Fruits & Vegetables,Onion,25.0,16,3,21.0,1000,False,1,4.0,2.5,In Stock,Mid (11-20%)
Fruits & Vegetables,Tomato Hybrid,42.0,16,3,35.0,1000,False,1,7.0,4.2,In Stock,Mid (11-20%)
Fruits & Vegetables,Tender Coconut,51.0,15,3,43.0,58,False,1,8.0,87.93103448275862,In Stock,Mid (11-20%)
Fruits & Vegetables,Coriander Leaves,20.0,15,3,17.0,100,False,100,3.0,20.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Ladies Finger,14.0,14,3,12.0,250,False,250,2.0,5.6000000000000005,In Stock,Mid (11-20%)
Fruits & Vegetables,Potato,35.0,17,3,29.0,1000,False,1,6.0,3.5000000000000004,In Stock,Mid (11-20%)
Fruits & Vegetables,Lemon,75.0,16,3,63.0,200,False,200,12.0,37.5,In Stock,Mid (11-20%)
Fruits & Vegetables,Watermelon,58.0,15,3,49.0,58,False,1,9.0,100.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Capsicum Green,23.0,17,3,19.0,250,False,250,4.0,9.2,In Stock,Mid (11-20%)
Fruits & Vegetables,Chilli Green,19.0,15,3,16.0,100,False,100,3.0,19.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Banana Robusta,29.0,17,3,24.0,348,False,6,5.0,8.333333333333332,In Stock,Mid (11-20%)
Fruits & Vegetables,Garlic Indian,11.0,18,3,9.0,100,False,100,2.0,11.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Cauliflower,26.0,15,3,22.0,58,False,1,4.0,44.827586206896555,In Stock,Mid (11-20%)
Fruits & Vegetables,Ginger,14.0,14,3,12.0,200,False,200,2.0,7.000000000000001,In Stock,Mid (11-20%)
Fruits & Vegetables,Spinach,19.0,15,3,16.0,250,False,250,3.0,7.6,In Stock,Mid (11-20%)
Fruits & Vegetables,Muskmelon,42.0,16,3,35.0,58,False,1,7.0,72.41379310344827,In Stock,Mid (11-20%)
Fruits & Vegetables,Cabbage,15.0,13,3,13.0,58,False,1,2.0,25.862068965517242,In Stock,Mid (11-20%)
Fruits & Vegetables,Methi,30.0,16,3,25.0,250,False,250,5.0,12.0,In Stock,Mid (11-20%)
Fruits & Vegetables,Broccoli,36.0,16,3,30.0,500,False,500,6.0,7.199999999999999,In Stock,Mid (11-20%)
Fruits & Vegetables,Sapota,30.0,16,3,25.0,348,False,6,5.0,8.620689655172415,In Stock,Mid (11-20%)
Fruits & Vegetables,Onion,68.0,16,3,57.0,3000,False,3,11.0,2.2666666666666666,In Stock,Mid (11-20%)
